,state,provider_count,avg_fee
Bayern,Bayern,52,1.4557692307692305
Baden-W端rttemberg,Baden-W端rttemberg,49,1.45734693877551
Berlin,Berlin,46,1.4826086956521736
Brandenburg,Brandenburg,43,1.4876744186046513
Bremen,Bremen,42,1.4747619047619047
Hamburg,Hamburg,48,1.463958333333333
Hessen,Hessen,49,1.4748979591836733
Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,41,1.4934146341463415
Niedersachsen,Niedersachsen,50,1.4701999999999997
Nordrhein-Westfalen,Nordrhein-Westfalen,53,1.4781132075471697
Rheinland-Pfalz,Rheinland-Pfalz,46,1.4723913043478258
Saarland,Saarland,41,1.4707317073170734
Sachsen,Sachsen,47,1.4665957446808509
Sachsen-Anhalt,Sachsen-Anhalt,43,1.4693023255813953
Schleswig-Holstein,Schleswig-Holstein,42,1.4826190476190475
Th端ringen,Th端ringen,41,1.4656097560975612
